order_hour,order_count,hour_label
0,957,12 AM
1,833,01 AM
2,488,02 AM
3,389,03 AM
4,5,04 AM
11,305,11 AM
12,909,12 PM
13,1142,01 PM
14,1032,02 PM
15,824,03 PM
16,905,04 PM
17,1069,05 PM
18,1611,06 PM
19,2419,07 PM
20,2912,08 PM
21,2296,09 PM
22,1748,10 PM
23,1477,11 PM
